st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,st22,st23,st24,st25,st26,st27,st28,st29,st30,st31,st32,st33,st34,st35,st36,st37,st38,st39,st40,st41,st42,st43,st44,st45,cpu-cycles,instructions,bus-cycles,cache-references,cache-misses,branch-instructions,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-icache-loads,L1-icache-load-missesd,TLB-load-misses,iTLB-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,Label
66,41,21,0,43,17,2,30,10,7,10,0,58,8,0,66,7,14,21,39,40,0,60,1,0,2,36,16,14,0,5,0,277,69,0,0,34,0,21900,2,7,0,56,53,0,1.685021,1,0.336999,0.520283,0.018573,0.080101,0.000036,0.360193,0.018486,0.160091,0.000058,0.26108,0.000001,0.019867,0,0.055477,0.001167,0.018537,0.000002,O2
53,35,14,0,36,12,1,31,2,1,11,0,44,9,0,53,3,18,14,69,36,54,58,2,0,0,53,0,0,0,0,0,335,79,0,0,32,0,0,4,7,0,71,66,0,1.603908,1,0.320781,0.450787,0.018304,0.041946,0.000021,0.356424,0.009585,0.094333,0.008577,0.1807,0.000001,0.005281,0,0.043816,0.001488,0.018135,0.00403,Ofast
61,41,16,0,42,14,1,37,2,1,13,0,57,4,0,61,3,13,16,46,40,32,79,2,0,0,61,0,0,0,0,0,295,81,0,0,32,0,21942,2,7,0,58,57,0,1.354188,1,0.270838,0.353815,0.010004,0.039784,0.000167,0.29479,0.007527,0.059025,0.00249,0.259546,0.000001,0.000119,0,0.016071,0.003449,0.010016,0.00249,O3
45,29,12,0,30,10,1,25,2,1,9,0,41,4,0,45,3,14,12,38,26,16,58,2,0,0,45,0,0,0,0,0,175,36,0,0,24,0,0,2,7,0,47,44,0,0.696178,1,0.336365,0.658278,0.018812,0.077532,0.00003,0.503365,0.013697,0.154916,0.004854,0.388048,0.000001,0.000079,0,0.028989,0.004974,0.018638,0.004848,Ofast
37,23,10,0,24,8,1,19,2,1,7,0,34,3,0,37,3,12,10,29,26,12,58,2,0,0,37,0,0,0,0,0,139,28,0,0,24,0,22067,1,7,0,44,40,0,1.226589,1,0.430526,0.545914,0.005756,0.057557,0.000015,0.43089,0.006228,0.115025,0.000046,0.402135,0.000001,0.00006,0,0.010505,0.003647,0.006251,0.000005,O3
78,52,22,0,53,20,1,45,7,5,15,0,67,11,0,78,2,27,22,122,46,78,25,1,0,0,78,0,0,0,0,0,288,33,0,0,23,0,21983,0,11,0,40,50,18,1.235377,1,0.202158,0.56222,0,0.055868,0,0.475045,0,0.087169,0,0.27016,0,0,0,0,0,0,0,O3
82,57,20,0,57,20,0,54,1,1,18,0,77,5,0,82,1,67,20,106,22,73,55,1,0,0,82,0,0,0,0,0,245,28,0,0,20,0,21970,0,36,0,44,48,9,0.932927,1,0.186269,0.344729,0.000394,0.194877,0.007222,0.212865,0.000301,0.131513,0.000022,0.33463,0.006941,0.003078,0.002647,0.007813,0.000009,0.000328,0,O3
78,38,20,1,42,15,3,32,5,2,7,0,64,14,0,78,11,27,20,113,109,1,32,1,1,2,74,4,0,0,1,1,347,55,0,0,69,0,22042,3,21,0,78,73,43,0.601063,1,0.100862,0.503109,0,0.100654,0.001865,0.280533,0,0.222576,0,0.223396,0,0,0,0.000001,0,0,0,O3
19,10,5,0,10,5,0,7,1,1,3,0,16,3,0,19,1,8,5,29,18,0,34,2,0,0,19,0,0,0,0,0,62,5,0,0,11,0,21893,1,5,0,19,19,10,4.342916,1,0.868584,0.453559,0.000054,0.162852,0.000018,0.255892,0.000015,0.197669,0,0.221268,0.000015,0.000021,0.000007,0.000242,0.000002,0.000182,0,O2
64,43,17,0,44,15,1,38,3,2,13,0,55,9,0,64,3,20,17,66,21,14,58,1,0,2,41,23,0,0,1,0,256,52,0,0,18,0,21955,4,7,0,49,48,0,3.127654,1,0.71257,0.516342,0.068264,0.069429,0.000025,0.378631,0.067971,0.137731,0.000296,0.010602,0,0.053629,0.000001,0.143843,0.004903,0.068265,0.000033,O3
53,35,14,0,36,12,1,31,2,1,11,0,45,8,0,53,3,16,14,52,14,9,58,2,0,0,53,0,0,0,0,0,179,32,0,0,12,0,0,3,7,0,40,39,0,3.572909,1,0.714582,0.51755,0.068471,0.069066,0.000025,0.379435,0.068416,0.138118,0.000054,0.006534,0.000001,0.053981,0.000001,0.14438,0.004965,0.06847,0.000033,O2
49,32,13,0,33,11,1,28,2,1,10,0,42,7,0,49,3,16,13,55,21,14,60,2,0,0,49,0,0,0,0,0,205,36,0,0,15,0,21927,3,7,0,50,46,0,1.838859,1,0.573065,0.751029,0.058257,0.058026,0.000059,0.606615,0.058171,0.145093,0.000019,0.381887,0,0.033909,0.000001,0.166378,0.007492,0.058276,0.000015,O2
49,32,13,0,33,11,1,28,2,1,10,0,43,6,0,49,3,16,13,51,22,10,58,2,0,0,49,0,0,0,0,0,178,28,0,0,14,0,21923,3,7,0,47,44,0,0.669,1,0.308782,0.947658,0.099897,0.112238,0.001348,0.74709,0.099986,0.200542,0.000043,0.571223,0.000002,0.098631,0.000001,0.283558,0.012623,0.10002,0.000025,O2
41,26,11,0,27,9,1,22,2,1,8,0,34,7,0,41,3,14,11,42,17,5,60,2,0,0,41,0,0,0,0,0,148,24,0,0,10,0,22065,2,7,0,38,37,0,1.229594,1,0.83709,0.890334,0.102087,0.121586,0.000123,0.65232,0.102081,0.237996,0.000024,0.023001,0.000003,0.117484,0.000001,0.31072,0.007417,0.102004,0.000016,O3
