st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,st22,st23,st24,st25,st26,st27,st28,st29,st30,st31,st32,st33,st34,st35,st36,st37,st38,st39,st40,st41,st42,st43,st44,st45,cpu-cycles,instructions,bus-cycles,cache-references,cache-misses,branch-instructions,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-icache-loads,L1-icache-load-missesd,TLB-load-misses,iTLB-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,Label
37,23,10,0,24,8,1,19,2,1,7,0,34,3,0,37,3,12,10,29,26,12,58,2,0,0,37,0,0,0,0,0,139,28,0,0,24,0,22067,1,7,0,44,40,0,1.226589,1,0.430526,0.545914,0.005756,0.057557,0.000015,0.43089,0.006228,0.115025,0.000046,0.402135,0.000001,0.00006,0,0.010505,0.003647,0.006251,0.000005,O3
78,52,22,0,53,20,1,45,7,5,15,0,67,11,0,78,2,27,22,122,46,78,25,1,0,0,78,0,0,0,0,0,288,33,0,0,23,0,21983,0,11,0,40,50,18,1.235377,1,0.202158,0.56222,0,0.055868,0,0.475045,0,0.087169,0,0.27016,0,0,0,0,0,0,0,O3
82,57,20,0,57,20,0,54,1,1,18,0,77,5,0,82,1,67,20,106,22,73,55,1,0,0,82,0,0,0,0,0,245,28,0,0,20,0,21970,0,36,0,44,48,9,1.076005,1,0.215205,0.343903,0.002634,0.197424,0.006866,0.211985,0.001005,0.132127,0.000008,0.337237,0.010967,0.003781,0.004071,0.012891,0.000002,0.001336,0,O3
78,38,20,1,42,15,3,32,5,2,7,0,64,14,0,78,11,27,20,113,109,1,32,1,1,2,74,4,0,0,1,1,347,55,0,0,69,0,22042,3,21,0,78,73,43,0.594773,1,0.175597,0.503115,0,0.100652,0.001865,0.280528,0,0.222591,0,0.222797,0,0,0,0,0,0,0,O3
19,10,5,0,10,5,0,7,1,1,3,0,16,3,0,19,1,8,5,29,18,0,34,2,0,0,19,0,0,0,0,0,62,5,0,0,11,0,21893,1,5,0,19,19,10,4.476009,1,0.895202,0.453562,0.00002,0.162853,0.000018,0.255891,0.000049,0.197669,0.000001,0.221265,0.000014,0.000021,0.000007,0.000071,0.000003,0.000036,0,O2
64,43,17,0,44,15,1,38,3,2,13,0,55,9,0,64,3,20,17,66,21,14,58,1,0,2,41,23,0,0,1,0,256,52,0,0,18,0,21955,4,7,0,49,48,0,3.689176,1,0.839645,0.604136,0.079706,0.081236,0.000029,0.442986,0.07951,0.161118,0.00019,0.014439,0,0.062724,0.000001,0.168489,0.005693,0.0797,0.000038,O3
53,35,14,0,36,12,1,31,2,1,11,0,45,8,0,53,3,16,14,52,14,9,58,2,0,0,53,0,0,0,0,0,179,32,0,0,12,0,0,3,7,0,40,39,0,3.626041,1,0.725208,0.517942,0.068581,0.069113,0.000025,0.3797,0.068416,0.138243,0.000169,0.008948,0.000001,0.053974,0.000001,0.145421,0.004882,0.068581,0.000032,O2
49,32,13,0,33,11,1,28,2,1,10,0,42,7,0,49,3,16,13,55,21,14,60,2,0,0,49,0,0,0,0,0,205,36,0,0,15,0,21927,3,7,0,50,46,0,3.485568,1,0.697113,0.532184,0.041263,0.041109,0.000042,0.42931,0.041205,0.102532,0.000014,0.268937,0.000001,0.02406,0.000001,0.117811,0.005315,0.041227,0.000011,O2
49,32,13,0,33,11,1,28,2,1,10,0,43,6,0,49,3,16,13,51,22,10,58,2,0,0,49,0,0,0,0,0,178,28,0,0,14,0,21923,3,7,0,47,44,0,1.198754,1,0.592324,0.947885,0.099866,0.112255,0.00135,0.747226,0.099506,0.200579,0.000056,0.571592,0.000001,0.098629,0.000001,0.283495,0.012665,0.099575,0.000025,O2
41,26,11,0,27,9,1,22,2,1,8,0,34,7,0,41,3,14,11,42,17,5,60,2,0,0,41,0,0,0,0,0,148,24,0,0,10,0,22065,2,7,0,38,37,0,4.601366,1,0.920267,0.482797,0.057703,0.065933,0.000067,0.353761,0.055833,0.129021,0.000012,0.014602,0.000002,0.063691,0.000001,0.169773,0.004004,0.05591,0.000009,O3
73,50,19,0,51,17,1,46,2,1,16,0,63,10,0,73,3,20,19,78,32,10,60,1,0,0,73,0,0,0,0,0,243,37,0,0,22,0,21978,5,7,0,67,64,0,2.284143,1,0.681242,0.609395,0.046969,0.092259,0.000496,0.546166,0.047441,0.175423,0.000016,0.408005,0.000001,0.043374,0.000001,0.12706,0.005736,0.047383,0.000012,Ofast
85,59,22,0,60,20,1,55,2,1,19,0,74,11,0,85,3,24,22,87,40,10,60,1,0,0,85,0,0,0,0,0,279,47,0,0,30,0,22097,7,7,0,76,67,0,3.07058,1,0.613616,0.50164,0.033617,0.064778,0.000244,0.376258,0.03439,0.125351,0.00003,0.260885,0.000001,0.030973,0.000001,0.094471,0.004016,0.034022,0.000008,Ofast
73,50,19,0,51,17,1,46,2,1,16,0,65,8,0,73,3,15,19,54,22,9,58,1,0,0,73,0,0,0,0,0,214,44,0,0,19,0,21939,2,7,1,41,39,0,2.395838,1,0.479167,0.523708,0.033094,0.070246,0.000023,0.32019,0.033012,0.141772,0.000073,0.103715,0.000001,0.028766,0,0.094827,0.004637,0.033085,0.000004,O3
67,45,18,0,46,16,1,40,3,2,14,0,59,8,0,67,4,21,18,61,23,10,111,2,0,0,67,0,0,0,0,0,232,48,0,0,17,0,21971,3,11,0,48,46,0,5.026998,1,1.005374,0.52917,0.065223,0.067727,0.000175,0.398085,0.06374,0.130869,0.000162,0.08098,0.000001,0.051346,0.000001,0.191284,0.002341,0.064146,0.000014,O3
77,53,20,0,54,18,1,49,2,1,17,0,70,7,0,77,3,14,20,55,23,9,58,1,0,0,77,0,0,0,0,0,207,40,0,0,20,0,22034,2,7,1,42,40,0,2.108714,1,0.63331,0.728531,0.096175,0.196883,0.000074,0.889741,0.096089,0.403069,0.000062,0.553869,0.000002,0.087371,0.000001,0.272273,0.012096,0.096149,0.00001,O3
93,65,24,0,66,22,1,61,2,1,21,0,80,13,0,93,3,20,24,85,28,17,39,1,0,0,93,0,0,0,0,0,307,62,0,0,27,0,21896,5,7,1,59,56,0,1.453078,1,1.007619,1.020212,0.10202,0.210321,0.000078,1.116096,0.101775,0.425494,0.000215,0.632817,0,0.092589,0.000001,0.289127,0.01277,0.101951,0.000011,Ofast
44,26,14,0,28,10,2,19,6,3,7,0,40,4,0,44,7,12,14,28,21,0,58,2,0,2,37,7,0,0,1,0,125,24,0,0,13,0,22063,1,7,0,31,26,0,0.796249,1,0.269361,0.634449,0.005058,2.9459,0.006099,1.366985,0.005076,0.673056,0.000003,1.206631,0.000001,0.000073,0,0.010084,0.004545,0.005045,0.000001,O1
66,41,21,0,43,17,2,30,10,7,10,0,58,8,0,66,7,14,21,39,40,0,60,1,0,2,36,16,14,0,5,0,277,69,0,0,34,0,21900,2,7,0,56,53,0,1.476833,1,0.489669,0.637151,0.036566,0.157928,0.000071,0.645385,0.036407,0.315638,0.000113,0.514744,0.000003,0.039173,0.000001,0.107668,0.002524,0.036489,0.000004,O2
53,35,14,0,36,12,1,31,2,1,11,0,44,9,0,53,3,18,14,69,36,54,58,2,0,0,53,0,0,0,0,0,335,79,0,0,32,0,0,4,7,0,71,66,0,1.150019,1,0.732335,0.696498,0.056488,0.129734,0.000065,1.10234,0.029649,0.291755,0.026516,0.558483,0.000003,0.016335,0.000001,0.135604,0.004585,0.056186,0.012465,Ofast
61,41,16,0,42,14,1,37,2,1,13,0,57,4,0,61,3,13,16,46,40,32,79,2,0,0,61,0,0,0,0,0,295,81,0,0,32,0,21942,2,7,0,58,57,0,1.294587,1,0.317818,0.436488,0.014432,0.057358,0.000241,0.425015,0.010851,0.0851,0.003588,0.374203,0.000001,0.000171,0,0.023164,0.004997,0.014439,0.00359,O3
45,29,12,0,30,10,1,25,2,1,9,0,41,4,0,45,3,14,12,38,26,16,58,2,0,0,45,0,0,0,0,0,175,36,0,0,24,0,0,2,7,0,47,44,0,1.198377,1,0.239675,0.472132,0.013734,0.055608,0.000022,0.148944,0.010127,0.111109,0.00348,0.136926,0,0.000056,0,0.020957,0.003577,0.013593,0.003477,Ofast
37,23,10,0,24,8,1,19,2,1,7,0,34,3,0,37,3,12,10,29,26,12,58,2,0,0,37,0,0,0,0,0,139,28,0,0,24,0,22067,1,7,0,44,40,0,1.436614,1,0.287322,0.365431,0.003675,0.038528,0.00001,0.288434,0.003678,0.076997,0.000031,0.269183,0.000001,0.00004,0,0.006516,0.002431,0.003754,0.000004,O3
78,52,22,0,53,20,1,45,7,5,15,0,67,11,0,78,2,27,22,122,46,78,25,1,0,0,78,0,0,0,0,0,288,33,0,0,23,0,21983,0,11,0,40,50,18,1.403255,1,0.386203,0.685121,0,0.156042,0,0.819086,0,2.538159,0,0.493044,0.000001,0.000001,0.000001,0.000002,0,0.000001,0,O3
82,57,20,0,57,20,0,54,1,1,18,0,77,5,0,82,1,67,20,106,22,73,55,1,0,0,82,0,0,0,0,0,245,28,0,0,20,0,21970,0,36,0,44,48,9,1.068459,1,0.213699,0.344034,0.001544,0.196958,0.006791,0.212284,0.001431,0.132427,0.000303,0.338315,0.010978,0.003795,0.003888,0.012483,0.000002,0.001105,0,O3
78,38,20,1,42,15,3,32,5,2,7,0,64,14,0,78,11,27,20,113,109,1,32,1,1,2,74,4,0,0,1,1,347,55,0,0,69,0,22042,3,21,0,78,73,43,0.594211,1,0.10989,0.503114,0,0.100651,0.001865,0.280529,0,0.222591,0,0.223389,0,0,0,0,0,0,0,O3
19,10,5,0,10,5,0,7,1,1,3,0,16,3,0,19,1,8,5,29,18,0,34,2,0,0,19,0,0,0,0,0,62,5,0,0,11,0,21893,1,5,0,19,19,10,4.442389,1,0.888478,0.453569,0.000134,0.162854,0.000018,0.255891,0.000039,0.197671,0,0.221262,0.000015,0.000021,0.000007,0.000085,0.000002,0.000046,0,O2
64,43,17,0,44,15,1,38,3,2,13,0,55,9,0,64,3,20,17,66,21,14,58,1,0,2,41,23,0,0,1,0,256,52,0,0,18,0,21955,4,7,0,49,48,0,3.722117,1,0.846233,0.604122,0.079705,0.08123,0.000029,0.442995,0.079508,0.16112,0.000193,0.014578,0,0.062722,0.000001,0.168827,0.005642,0.079705,0.000038,O3
53,35,14,0,36,12,1,31,2,1,11,0,45,8,0,53,3,16,14,52,14,9,58,2,0,0,53,0,0,0,0,0,179,32,0,0,12,0,0,3,7,0,40,39,0,3.355462,1,0.729502,0.517943,0.068579,0.069114,0.000025,0.379695,0.068414,0.138236,0.000164,0.008945,0.000001,0.053978,0.000001,0.145254,0.004912,0.068581,0.000033,O2
49,32,13,0,33,11,1,28,2,1,10,0,42,7,0,49,3,16,13,55,21,14,60,2,0,0,49,0,0,0,0,0,205,36,0,0,15,0,21927,3,7,0,50,46,0,1.300346,1,0.983381,0.943848,0.073301,0.072878,0.000073,0.762838,0.073238,0.182409,0.000025,0.479188,0.000001,0.042332,0.000001,0.209221,0.009471,0.073221,0.000019,O2
49,32,13,0,33,11,1,28,2,1,10,0,43,6,0,49,3,16,13,51,22,10,58,2,0,0,49,0,0,0,0,0,178,28,0,0,14,0,21923,3,7,0,47,44,0,1.174431,1,0.689538,0.731923,0.076922,0.08668,0.001043,0.576984,0.076809,0.154881,0.000039,0.441379,0.000001,0.076163,0.000001,0.218647,0.009777,0.077,0.000019,O2
41,26,11,0,27,9,1,22,2,1,8,0,34,7,0,41,3,14,11,42,17,5,60,2,0,0,41,0,0,0,0,0,148,24,0,0,10,0,22065,2,7,0,38,37,0,1.222704,1,0.897733,0.626167,0.074316,0.085514,0.000086,0.45877,0.071432,0.167322,0.000015,0.018769,0.000002,0.082603,0.000001,0.217133,0.005256,0.07151,0.000011,O3
73,50,19,0,51,17,1,46,2,1,16,0,63,10,0,73,3,20,19,78,32,10,60,1,0,0,73,0,0,0,0,0,243,37,0,0,22,0,21978,5,7,0,67,64,0,2.166529,1,0.716021,0.648745,0.0423,0.082918,0.000446,0.490935,0.042671,0.157684,0.000015,0.366726,0.000001,0.038978,0.000001,0.114556,0.005136,0.042684,0.000011,Ofast
85,59,22,0,60,20,1,55,2,1,19,0,74,11,0,85,3,24,22,87,40,10,60,1,0,0,85,0,0,0,0,0,279,47,0,0,30,0,22097,7,7,0,76,67,0,3.067741,1,0.613221,0.501406,0.034021,0.064759,0.000244,0.376211,0.034465,0.125338,0.000031,0.260791,0.000001,0.030953,0.000001,0.095538,0.004043,0.034678,0.000008,Ofast
73,50,19,0,51,17,1,46,2,1,16,0,65,8,0,73,3,15,19,54,22,9,58,1,0,0,73,0,0,0,0,0,214,44,0,0,19,0,21939,2,7,1,41,39,0,1.928448,1,0.544697,0.573032,0.077363,0.164127,0.000056,0.422881,0.077154,0.331367,0.001735,0.240506,0.000002,0.067223,0.000001,0.22232,0.010653,0.07733,0.00001,O3
67,45,18,0,46,16,1,40,3,2,14,0,59,8,0,67,4,21,18,61,23,10,111,2,0,0,67,0,0,0,0,0,232,48,0,0,17,0,21971,3,11,0,48,46,0,4.935067,1,0.986991,0.529951,0.065264,0.067859,0.000175,0.398657,0.063185,0.130878,0.000164,0.084554,0.000001,0.050524,0.000001,0.194531,0.002039,0.06353,0.000014,O3
77,53,20,0,54,18,1,49,2,1,17,0,70,7,0,77,3,14,20,55,23,9,58,1,0,0,77,0,0,0,0,0,207,40,0,0,20,0,22034,2,7,1,42,40,0,2.705998,1,0.541199,0.569478,0.037176,0.076277,0.000029,0.330697,0.037159,0.15597,0.000024,0.214891,0.000001,0.033776,0,0.105194,0.004677,0.037176,0.000004,O3
93,65,24,0,66,22,1,61,2,1,21,0,80,13,0,93,3,20,24,85,28,17,39,1,0,0,93,0,0,0,0,0,307,62,0,0,27,0,21896,5,7,1,59,56,0,1.632103,1,0.890914,0.870843,0.145565,0.30014,0.000114,1.006914,0.145076,0.607389,0.000307,0.906377,0.000001,0.132036,0.000002,0.412419,0.018233,0.145445,0.000016,Ofast
44,26,14,0,28,10,2,19,6,3,7,0,40,4,0,44,7,12,14,28,21,0,58,2,0,2,37,7,0,0,1,0,125,24,0,0,13,0,22063,1,7,0,31,26,0,1.110274,1,0.987475,0.925617,0.015755,0.885507,0.018333,3.767719,0.015658,1.895175,0.000008,3.285753,0.000004,0.000219,0.000001,0.031025,0.013661,0.015652,0.000004,O1
66,41,21,0,43,17,2,30,10,7,10,0,58,8,0,66,7,14,21,39,40,0,60,1,0,2,36,16,14,0,5,0,277,69,0,0,34,0,21900,2,7,0,56,53,0,1.732875,1,0.346566,0.520282,0.018514,0.080101,0.000036,0.163072,0.018455,0.160091,0.000056,0.129665,0.000001,0.019869,0,0.054695,0.001269,0.018511,0.000002,O2
53,35,14,0,36,12,1,31,2,1,11,0,44,9,0,53,3,18,14,69,36,54,58,2,0,0,53,0,0,0,0,0,335,79,0,0,32,0,0,4,7,0,71,66,0,1.584632,1,0.379535,0.469169,0.021135,0.048514,0.000024,0.412187,0.011118,0.109097,0.009921,0.20894,0.000001,0.006108,0,0.050722,0.001708,0.020998,0.004657,Ofast
61,41,16,0,42,14,1,37,2,1,13,0,57,4,0,61,3,13,16,46,40,32,79,2,0,0,61,0,0,0,0,0,295,81,0,0,32,0,21942,2,7,0,58,57,0,1.323832,1,0.65559,0.817509,0.054731,0.217479,0.000914,1.053165,0.041148,0.322665,0.013612,0.860501,0.000003,0.000648,0.000001,0.088091,0.018978,0.054754,0.013611,O3
45,29,12,0,30,10,1,25,2,1,9,0,41,4,0,45,3,14,12,38,26,16,58,2,0,0,45,0,0,0,0,0,175,36,0,0,24,0,0,2,7,0,47,44,0,1.223958,1,0.244792,0.472132,0.013749,0.055608,0.000022,0.361025,0.010026,0.111109,0.00348,0.278313,0,0.000056,0,0.020883,0.00357,0.013453,0.003477,Ofast
37,23,10,0,24,8,1,19,2,1,7,0,34,3,0,37,3,12,10,29,26,12,58,2,0,0,37,0,0,0,0,0,139,28,0,0,24,0,22067,1,7,0,44,40,0,1.422246,1,0.284449,0.365431,0.003558,0.038528,0.00001,0.288436,0.00383,0.076997,0.00003,0.269188,0.000001,0.00004,0,0.006627,0.002435,0.003847,0.000004,O3
78,52,22,0,53,20,1,45,7,5,15,0,67,11,0,78,2,27,22,122,46,78,25,1,0,0,78,0,0,0,0,0,288,33,0,0,23,0,21983,0,11,0,40,50,18,1.233909,1,0.192797,0.562213,0,0.055868,0,0.475045,0,0.087169,0,0.258332,0.000001,0,0,0,0,0,0,O3
82,57,20,0,57,20,0,54,1,1,18,0,77,5,0,82,1,67,20,106,22,73,55,1,0,0,82,0,0,0,0,0,245,28,0,0,20,0,21970,0,36,0,44,48,9,1.060872,1,0.212167,0.34448,0.001149,0.197209,0.006886,0.212076,0.001376,0.132242,0.000458,0.339857,0.01094,0.003851,0.004238,0.012644,0.000002,0.000772,0,O3
78,38,20,1,42,15,3,32,5,2,7,0,64,14,0,78,11,27,20,113,109,1,32,1,1,2,74,4,0,0,1,1,347,55,0,0,69,0,22042,3,21,0,78,73,43,0.593934,1,0.114549,0.503117,0,0.100653,0.001865,0.280528,0,0.222591,0,0.22334,0,0,0,0,0,0,0,O3
19,10,5,0,10,5,0,7,1,1,3,0,16,3,0,19,1,8,5,29,18,0,34,2,0,0,19,0,0,0,0,0,62,5,0,0,11,0,21893,1,5,0,19,19,10,4.170779,1,0.834155,0.453562,0.000032,0.162851,0.000018,0.25589,0.000127,0.19767,0.000003,0.221237,0.000014,0.000021,0.000007,0.000033,0.000001,0.000013,0,O2
64,43,17,0,44,15,1,38,3,2,13,0,55,9,0,64,3,20,17,66,21,14,58,1,0,2,41,23,0,0,1,0,256,52,0,0,18,0,21955,4,7,0,49,48,0,3.530614,1,0.706122,0.516513,0.068144,0.069446,0.000025,0.378686,0.067976,0.137734,0.000162,0.01207,0,0.053615,0.000001,0.144547,0.004532,0.068138,0.000032,O3
53,35,14,0,36,12,1,31,2,1,11,0,45,8,0,53,3,16,14,52,14,9,58,2,0,0,53,0,0,0,0,0,179,32,0,0,12,0,0,3,7,0,40,39,0,3.489821,1,0.697964,0.517924,0.068587,0.069108,0.000025,0.37968,0.068417,0.138245,0.00017,0.008611,0.000001,0.053966,0.000001,0.14581,0.004575,0.068584,0.000032,O2
49,32,13,0,33,11,1,28,2,1,10,0,42,7,0,49,3,16,13,55,21,14,60,2,0,0,49,0,0,0,0,0,205,36,0,0,15,0,21927,3,7,0,50,46,0,3.428351,1,0.68567,0.532173,0.041276,0.041103,0.000042,0.429483,0.041156,0.102636,0.000015,0.269285,0,0.023923,0.000001,0.118933,0.005146,0.04122,0.000011,O2
49,32,13,0,33,11,1,28,2,1,10,0,43,6,0,49,3,16,13,51,22,10,58,2,0,0,49,0,0,0,0,0,178,28,0,0,14,0,21923,3,7,0,47,44,0,3.331397,1,0.664885,0.43483,0.045683,0.051492,0.000619,0.342802,0.045546,0.092024,0.000037,0.262348,0,0.04523,0.000001,0.131577,0.005645,0.045616,0.000011,O2
41,26,11,0,27,9,1,22,2,1,8,0,34,7,0,41,3,14,11,42,17,5,60,2,0,0,41,0,0,0,0,0,148,24,0,0,10,0,22065,2,7,0,38,37,0,4.560711,1,0.912126,0.482782,0.057458,0.065929,0.000067,0.353715,0.055773,0.129017,0.000012,0.01361,0.000002,0.063689,0.000001,0.171954,0.003693,0.055947,0.000009,O3
73,50,19,0,51,17,1,46,2,1,16,0,63,10,0,73,3,20,19,78,32,10,60,1,0,0,73,0,0,0,0,0,243,37,0,0,22,0,21978,5,7,0,67,64,0,2.665698,1,0.532415,0.497409,0.032328,0.063588,0.000341,0.376253,0.032448,0.12088,0.000011,0.280434,0.000001,0.029895,0.000001,0.087941,0.003796,0.032574,0.000008,Ofast
85,59,22,0,60,20,1,55,2,1,19,0,74,11,0,85,3,24,22,87,40,10,60,1,0,0,85,0,0,0,0,0,279,47,0,0,30,0,22097,7,7,0,76,67,0,2.989969,1,0.597477,0.500378,0.034329,0.064662,0.000244,0.37561,0.034052,0.125198,0.000031,0.259536,0.000001,0.03093,0.000001,0.095749,0.003927,0.034537,0.000008,Ofast
